(0,0) || Infinity
(1,0) || Infinity
(2,0) || Infinity
(3,0) || Infinity
(4,0) || Infinity
(5,0) || Infinity
(6,0) || Infinity
(7,0) || Infinity
(8,0) || Infinity
(9,0) || Infinity
(10,0) || Infinity
(11,0) || Infinity
(12,0) || Infinity
(13,0) || Infinity
(14,0) || Infinity
(15,0) || Infinity
(16,0) || Infinity
(17,0) || Infinity
(18,0) || Infinity
(19,0) || Infinity
(0,1) || Infinity
(1,1) || 9.43
(2,1) || 8.43
(3,1) || 7.43
(4,1) || 6.43
(5,1) || 5.43
(6,1) || 5.00
(7,1) || 5.43
(8,1) || 6.43
(9,1) || Infinity
(10,1) || Infinity
(11,1) || 8.86
(12,1) || 7.86
(13,1) || 6.86
(14,1) || 5.86
(15,1) || 5.43
(16,1) || 5.00
(17,1) || 5.43
(18,1) || 6.43
(19,1) || Infinity
(0,2) || Infinity
(1,2) || 9.00
(2,2) || 8.00
(3,2) || 7.00
(4,2) || 6.00
(5,2) || 5.00
(6,2) || 4.00
(7,2) || 5.00
(8,2) || 6.00
(9,2) || Infinity
(10,2) || Infinity
(11,2) || 8.43
(12,2) || 7.43
(13,2) || 6.43
(14,2) || 5.43
(15,2) || 4.43
(16,2) || 4.00
(17,2) || 5.00
(18,2) || 6.00
(19,2) || Infinity
(0,3) || Infinity
(1,3) || 8.86
(2,3) || 8.43
(3,3) || 8.00
(4,3) || Infinity
(5,3) || Infinity
(6,3) || 3.00
(7,3) || Infinity
(8,3) || Infinity
(9,3) || Infinity
(10,3) || Infinity
(11,3) || 8.00
(12,3) || 7.00
(13,3) || 6.00
(14,3) || 5.00
(15,3) || 4.00
(16,3) || 3.00
(17,3) || Infinity
(18,3) || Infinity
(19,3) || Infinity
(0,4) || Infinity
(1,4) || 8.43
(2,4) || 7.43
(3,4) || 7.00
(4,4) || Infinity
(5,4) || Infinity
(6,4) || 2.00
(7,4) || 1.00
(8,4) || 0.00
(9,4) || Infinity
(10,4) || Infinity
(11,4) || 8.43
(12,4) || 7.43
(13,4) || 7.00
(14,4) || Infinity
(15,4) || Infinity
(16,4) || 2.00
(17,4) || 1.00
(18,4) || 0.00
(19,4) || Infinity
(0,5) || Infinity
(1,5) || 8.00
(2,5) || 7.00
(3,5) || 6.00
(4,5) || 5.00
(5,5) || 4.00
(6,5) || 3.00
(7,5) || Infinity
(8,5) || Infinity
(9,5) || Infinity
(10,5) || Infinity
(11,5) || 8.86
(12,5) || 8.43
(13,5) || 8.00
(14,5) || Infinity
(15,5) || Infinity
(16,5) || 3.00
(17,5) || Infinity
(18,5) || Infinity
(19,5) || Infinity
(0,6) || Infinity
(1,6) || 8.43
(2,6) || 7.43
(3,6) || 6.43
(4,6) || 5.43
(5,6) || 4.43
(6,6) || 4.00
(7,6) || 5.00
(8,6) || 6.00
(9,6) || Infinity
(10,6) || Infinity
(11,6) || 9.00
(12,6) || 8.00
(13,6) || 7.00
(14,6) || 6.00
(15,6) || 5.00
(16,6) || 4.00
(17,6) || 5.00
(18,6) || 6.00
(19,6) || Infinity
(0,7) || Infinity
(1,7) || 8.86
(2,7) || 7.86
(3,7) || 6.86
(4,7) || 5.86
(5,7) || 5.43
(6,7) || 5.00
(7,7) || 5.43
(8,7) || 6.43
(9,7) || Infinity
(10,7) || Infinity
(11,7) || 9.43
(12,7) || 8.43
(13,7) || 7.43
(14,7) || 6.43
(15,7) || 5.43
(16,7) || 5.00
(17,7) || 5.43
(18,7) || 6.43
(19,7) || Infinity
(0,8) || Infinity
(1,8) || 9.29
(2,8) || 8.29
(3,8) || 7.29
(4,8) || 6.86
(5,8) || 6.43
(6,8) || 6.00
(7,8) || 6.43
(8,8) || 6.86
(9,8) || Infinity
(10,8) || Infinity
(11,8) || 9.86
(12,8) || 8.86
(13,8) || 7.86
(14,8) || 6.86
(15,8) || 6.43
(16,8) || 6.00
(17,8) || 6.43
(18,8) || 6.86
(19,8) || Infinity
(0,9) || Infinity
(1,9) || Infinity
(2,9) || Infinity
(3,9) || Infinity
(4,9) || Infinity
(5,9) || Infinity
(6,9) || Infinity
(7,9) || Infinity
(8,9) || Infinity
(9,9) || Infinity
(10,9) || Infinity
(11,9) || Infinity
(12,9) || Infinity
(13,9) || Infinity
(14,9) || Infinity
(15,9) || Infinity
(16,9) || Infinity
(17,9) || Infinity
(18,9) || Infinity
(19,9) || Infinity
(0,10) || Infinity
(1,10) || Infinity
(2,10) || Infinity
(3,10) || Infinity
(4,10) || Infinity
(5,10) || Infinity
(6,10) || Infinity
(7,10) || Infinity
(8,10) || Infinity
(9,10) || Infinity
(10,10) || Infinity
(11,10) || Infinity
(12,10) || Infinity
(13,10) || Infinity
(14,10) || Infinity
(15,10) || Infinity
(16,10) || Infinity
(17,10) || Infinity
(18,10) || Infinity
(19,10) || Infinity
(0,11) || Infinity
(1,11) || 9.43
(2,11) || 8.43
(3,11) || 7.43
(4,11) || 6.43
(5,11) || 5.43
(6,11) || 5.00
(7,11) || 5.43
(8,11) || 6.43
(9,11) || Infinity
(10,11) || Infinity
(11,11) || 8.86
(12,11) || 7.86
(13,11) || 6.86
(14,11) || 5.86
(15,11) || 5.43
(16,11) || 5.00
(17,11) || 5.43
(18,11) || 6.43
(19,11) || Infinity
(0,12) || Infinity
(1,12) || 9.00
(2,12) || 8.00
(3,12) || 7.00
(4,12) || 6.00
(5,12) || 5.00
(6,12) || 4.00
(7,12) || 5.00
(8,12) || 6.00
(9,12) || Infinity
(10,12) || Infinity
(11,12) || 8.43
(12,12) || 7.43
(13,12) || 6.43
(14,12) || 5.43
(15,12) || 4.43
(16,12) || 4.00
(17,12) || 5.00
(18,12) || 6.00
(19,12) || Infinity
(0,13) || Infinity
(1,13) || 8.86
(2,13) || 8.43
(3,13) || 8.00
(4,13) || Infinity
(5,13) || Infinity
(6,13) || 3.00
(7,13) || Infinity
(8,13) || Infinity
(9,13) || Infinity
(10,13) || Infinity
(11,13) || 8.00
(12,13) || 7.00
(13,13) || 6.00
(14,13) || 5.00
(15,13) || 4.00
(16,13) || 3.00
(17,13) || Infinity
(18,13) || Infinity
(19,13) || Infinity
(0,14) || Infinity
(1,14) || 8.43
(2,14) || 7.43
(3,14) || 7.00
(4,14) || Infinity
(5,14) || Infinity
(6,14) || 2.00
(7,14) || 1.00
(8,14) || 0.00
(9,14) || Infinity
(10,14) || Infinity
(11,14) || 8.43
(12,14) || 7.43
(13,14) || 7.00
(14,14) || Infinity
(15,14) || Infinity
(16,14) || 2.00
(17,14) || 1.00
(18,14) || 0.00
(19,14) || Infinity
(0,15) || Infinity
(1,15) || 8.00
(2,15) || 7.00
(3,15) || 6.00
(4,15) || 5.00
(5,15) || 4.00
(6,15) || 3.00
(7,15) || Infinity
(8,15) || Infinity
(9,15) || Infinity
(10,15) || Infinity
(11,15) || 8.86
(12,15) || 8.43
(13,15) || 8.00
(14,15) || Infinity
(15,15) || Infinity
(16,15) || 3.00
(17,15) || Infinity
(18,15) || Infinity
(19,15) || Infinity
(0,16) || Infinity
(1,16) || 8.43
(2,16) || 7.43
(3,16) || 6.43
(4,16) || 5.43
(5,16) || 4.43
(6,16) || 4.00
(7,16) || 5.00
(8,16) || 6.00
(9,16) || Infinity
(10,16) || Infinity
(11,16) || 9.00
(12,16) || 8.00
(13,16) || 7.00
(14,16) || 6.00
(15,16) || 5.00
(16,16) || 4.00
(17,16) || 5.00
(18,16) || 6.00
(19,16) || Infinity
(0,17) || Infinity
(1,17) || 8.86
(2,17) || 7.86
(3,17) || 6.86
(4,17) || 5.86
(5,17) || 5.43
(6,17) || 5.00
(7,17) || 5.43
(8,17) || 6.43
(9,17) || Infinity
(10,17) || Infinity
(11,17) || 9.43
(12,17) || 8.43
(13,17) || 7.43
(14,17) || 6.43
(15,17) || 5.43
(16,17) || 5.00
(17,17) || 5.43
(18,17) || 6.43
(19,17) || Infinity
(0,18) || Infinity
(1,18) || 9.29
(2,18) || 8.29
(3,18) || 7.29
(4,18) || 6.86
(5,18) || 6.43
(6,18) || 6.00
(7,18) || 6.43
(8,18) || 6.86
(9,18) || Infinity
(10,18) || Infinity
(11,18) || 9.86
(12,18) || 8.86
(13,18) || 7.86
(14,18) || 6.86
(15,18) || 6.43
(16,18) || 6.00
(17,18) || 6.43
(18,18) || 6.86
(19,18) || Infinity
(0,19) || Infinity
(1,19) || Infinity
(2,19) || Infinity
(3,19) || Infinity
(4,19) || Infinity
(5,19) || Infinity
(6,19) || Infinity
(7,19) || Infinity
(8,19) || Infinity
(9,19) || Infinity
(10,19) || Infinity
(11,19) || Infinity
(12,19) || Infinity
(13,19) || Infinity
(14,19) || Infinity
(15,19) || Infinity
(16,19) || Infinity
(17,19) || Infinity
(18,19) || Infinity
(19,19) || Infinity
